Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/India/254/2011	3.20	2.63		India	12.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2011-06-29		EPI335906	National Institute Of Virology
A/Sendai/24/2011	3.20	2.63		Japan	12.00	0.00	5.00		3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-11-13		EPI348408	Sendai City Institute Of Public Health
A/Lebanon/11L013/2011	3.20	2.63	3b	Lebanon	12.00	0.00	8.00	3.00	3.00	West Asia	Other Database Import	2011-07-18		EPI530827	
A/Wellington/14/2011	5.00	3.50	3b	New Zealand	13.00	0.00	6.00	2.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2011-07-13		EPI346347	Institute Of Environmental Science And Research
A/Utah/23/2012	5.00	2.63	3b	USA	14.00	0.00	7.00	3.00	3.00	North America	Centers For Disease Control And Prevention	2012-07-08		EPI387793	Utah Department Of Health
A/Cairo/158/2013	5.00	2.63	3b	Egypt	16.00	0.00	7.00	2.00	3.00	Africa	National Institute For Medical Research	2013-01-09		EPI445842	Vacsera
A/Norway/1762/2011	5.00	2.63	3b	Norway	13.00	0.00	6.00	2.00	3.00	Europe	Norwegian Institute Of Public Health	2011-07-21		EPI332689	Universitetssykehuset Nord Norge Hf, Avd. Mikrobiologi Og Smittevern
A/HongKong/3974/2011	5.00	2.63	3b	Hong Kong	14.00	0.00	6.00	1.00	3.00	China	Centers For Disease Control And Prevention	2011-06-23		EPI335903	Government Virus Unit
A/Singapore/C2011301/2011	5.00	2.63	3b	Singapore	13.00	0.00	6.00		3.00	Southeast Asia	Other Database Import	2011-04-20		EPI458015	
A/Singapore/GP1188/2011	5.00	2.63	3b	Singapore	13.00	0.00	6.00		3.00	Southeast Asia	Other Database Import	2011-07-04		EPI380793	
A/Singapore/C2011477/2011	5.00	2.63	3b	Singapore	13.00	0.00	6.00		3.00	Southeast Asia	Other Database Import	2011-06-23		EPI457940	
A/Singapore/KK182/2011	5.00	2.63	3b	Singapore	13.00	0.00	6.00		3.00	Southeast Asia	Other Database Import	2011-05-19		EPI380917	
A/Singapore/GP1048/2011	5.00	2.63	3b	Singapore	13.00	0.00	6.00		3.00	Southeast Asia	Other Database Import	2011-05-30		EPI380775	
A/Brisbane/14/2012	5.00	2.63	3b	Australia	14.00	0.00	6.00	3.00	3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-02-07		EPI566481	Queensland Health Scientific Services
A/England/256/2011	5.00	2.63	3b	United Kingdom	12.00	0.00	5.00		3.00	Europe	National Institute For Medical Research	2011-10-12		EPI346601	Health Protection Agency
A/Srilanka/24/2011	5.00	2.63	3b	Sri Lanka	12.00	0.00	5.00		3.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2011-12-01		EPI370060	Medical Research Institute
A/Jiangxi-Xihu/1232/2011	5.00	2.63	3b	China	12.00	0.00	5.00		3.00	China	Centers For Disease Control And Prevention	2011-11-08		EPI352212	Who Chinese National Influenza Center
A/DominicanRepublic/6524/2012	5.00	2.63	3b	Dominican Republic	13.00	0.00	5.00	1.00	3.00	North America	Centers For Disease Control And Prevention	2012-06-05		EPI395233	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
A/PuertoRico/34/2012	5.00	2.63	3b	Puerto Rico	12.00	0.00	5.00		3.00	North America	Centers For Disease Control And Prevention	2012-06-27		EPI394790	Puerto Rico Department Of Health
A/Kobe/241/2011	5.00	2.63	3b	Japan	12.00	0.00	8.00	3.00	3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-10-21		EPI347703	Kobe Institute Of Health
A/Bangladesh/5071/2011	5.00	2.63	3b	Bangladesh	12.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2011-05-19		EPI331222	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/1/2012	5.00	2.63	3b	Bangladesh	12.00	0.00	5.00		3.00	South Asia	Other Database Import	2012-07-18		EPI985057	
A/Peru/PER166/2011	5.00	2.63	3b	Peru	13.00	0.00	5.00	1.00	3.00	South America	Other Database Import	2011-08-26		EPI495370	
A/Peru/PER197/2011	5.00	2.63	3b	Peru	12.00	0.00	5.00		3.00	South America	Other Database Import	2011-11-14		EPI495828	
A/Kentucky/9/2012	5.00	3.08	3b	USA	12.00	0.00	5.00	1.00	3.00	North America	Centers For Disease Control And Prevention	2012-05-11		EPI377462	Kentucky Division Of Laboratory Services
A/Peru/PER346/2011	5.00	2.63	3b	Peru	12.00	0.00	5.00		3.00	South America	Other Database Import	2011-11-19		EPI497308	
A/India/514/2011	5.00	2.63	3b	India	12.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2011-07-04		EPI335909	National Institute Of Virology
A/Singapore/TT452/2011	5.00	2.63	3b	Singapore	12.00	0.00	6.00	1.00	3.00	Southeast Asia	Other Database Import	2011-08-02		EPI381021	
A/Bangladesh/5006/2011	5.00	2.63	3b	Bangladesh	12.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2011-08-08		EPI347469	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Stockholm/12/2012	5.00	2.63	3b	Sweden	13.00	0.00	5.00		3.00	Europe	Swedish Institute For Infectious Disease Control	2012-01-16		EPI357018	
A/Singapore/KK475/2011	5.00	2.63	3b	Singapore	12.00	0.00	5.00		3.00	Southeast Asia	Other Database Import	2011-11-01		EPI380963	
A/Hormozgan/7981/2011	5.00	2.63	3b	Iran	12.00	0.00	5.00		3.00	West Asia	National Institute For Medical Research	2011-11-01		EPI352809	Tehran University Of Medical Sciences
A/Antananarivo/3635/2012	5.00	2.63	3b	Madagascar	12.00	0.00	5.00		3.00	Africa	National Institute For Medical Research	2012-06-15		EPI450634	Institut Pasteur De Madagascar
A/Madagascar/3408/2012	5.00	2.63	3b	Madagascar	12.00	0.00	6.00	1.00	3.00	Africa	National Institute For Medical Research	2012-05-23		EPI392286	Institut Pasteur De Madagascar
A/Tanzania/149/2011	5.00	2.63	3b	Tanzania	12.00	0.00	6.00	1.00	3.00	Africa	Centers For Disease Control And Prevention	2011-12-06		EPI359076	National Influenza Lab
A/Jordan/20110030655/2011	5.00	2.63	3b	Jordan	12.00	0.00	5.00		3.00	West Asia	National Institute For Medical Research	2011-10-31		EPI358969	Laboratory Directorate
A/Khorasan/8032/2011	5.00	2.77	3b	Iran	14.00	0.00	5.00	1.00	3.00	West Asia	National Institute For Medical Research	2011-11-01		EPI352803	Tehran University Of Medical Sciences
A/LaReunion/1523/2011	5.00	2.63	3b	France	12.00	0.00	5.00		3.00	Europe	National Institute For Medical Research	2011-05-23		EPI331069	Crr Virus Influenza Region Sud
A/Ethiopia/93/2012	5.00	2.63	3b	Ethiopia	12.00	0.00	5.00		3.00	Africa	Centers For Disease Control And Prevention	2012-04-25		EPI387775	Ethiopian Health And Nutrition Research Institute (ehnri)
A/Vietnam/NT12-471/2012	5.00	2.63	3b	Vietnam	13.00	0.00	6.00	1.00	3.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2012-07-17		EPI490884	Pasteur Institute, Influenza Laboratory
A/Cambodia/31/2012	5.00	2.63	3b	Cambodia	13.00	0.00	5.00		3.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2012-06-28		EPI394322	Namru 2, Cambodia
A/Lao/SA239/2012	5.00	2.98	3b	Laos	14.00	0.00	5.00		3.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2012-09-12		EPI413267	Ministry Of Health Laos
A/Lao/I653/2012	5.00	2.98	3b	Laos	14.00	0.00	5.00		3.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2012-08-29		EPI413263	Ministry Of Health Laos
A/Lao/I763/2012	5.00	2.98	3b	Laos	14.00	0.00	5.00		3.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2012-10-03		EPI413266	Ministry Of Health Laos
A/Stockholm/22/2011	5.00	2.63	3b	Sweden	12.00	0.00	5.00		3.00	Europe	Swedish Institute For Infectious Disease Control	2011-08-15		EPI338321	Swedish Institute For Infectious Disease Control
A/Perth/315/2011	5.00	2.63	3b	Australia	12.00	0.00	5.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2011-12-01		EPI629806	Pathwest Qe Ii Medical Centre
A/Kenya/158/2011	5.00	2.63	3b	Kenya	12.00	0.00	5.00		3.00	Africa	Usamru K	2011-10-18		EPI356873	Us Army Medical Research Unit Kenya (usamru K), Geis Human Influenza Program
A/Peru/PER028/2011	5.00	2.63	3b	Peru	12.00	0.00	5.00		3.00	South America	Other Database Import	2011-08-27		EPI494418	
A/India/1240/2012	5.00	2.63	3b	India	12.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2012-01-31		EPI387787	National Institute Of Virology
A/Santiago/3564/2012	5.00	2.63	3b	Chile	12.00	0.00	5.00		3.00	South America	Centers For Disease Control And Prevention	2012-01-12		EPI371975	Instituto De Salud Publica De Chile
A/Peru/PER359/2012	5.00	2.63	3b	Peru	13.00	0.00	5.00		3.00	South America	Other Database Import	2012-03-29		EPI497388	
A/Peru/PER371/2012	5.00	2.63	3b	Peru	13.00	0.00	5.00		3.00	South America	Other Database Import	2012-07-06		EPI497446	
A/Peru/PER167/2012	5.00	2.63	3b	Peru	13.00	0.00	5.00		3.00	South America	Other Database Import	2012-05-05		EPI495377	
A/Peru/PER072/2012	5.00	2.63	3b	Peru	13.00	0.00	5.00		3.00	South America	Other Database Import	2012-02-28		EPI494726	
A/Peru/PER209/2012	5.00	2.63	3b	Peru	13.00	0.00	5.00		3.00	South America	Other Database Import	2012-02-28		EPI496305	
A/Dakar/2/2012	5.00	2.63	3b	Senegal	12.00	0.00	5.00		3.00	Africa	National Institute For Medical Research	2012-02-01		EPI395015	Institut Pasteur De Dakar
A/Tunisia/13092/2011	5.00	2.63	3b	Tunisia	12.00	0.00	5.00		3.00	Africa	National Institute For Medical Research	2011-09-20		EPI346611	Hopital Charles Nicolle
A/Oman/916/2011	5.00	2.63	3b	Oman	12.00	0.00	5.00		3.00	West Asia	Centers For Disease Control And Prevention	2011-07-27		EPI341586	Central Public Health Laboratory, Ministry Of Health
A/Bangladesh/1539/2011	5.00	2.63	3b	Bangladesh	12.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2011-07-23		EPI335866	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bahrain/38/2011	5.00	2.63	3b	Bahrain	12.00	0.00	5.00		3.00	West Asia	Centers For Disease Control And Prevention	2011-12-08		EPI378094	Ministry Of Health Bahrain
A/NosyBe/429/2013	5.00	2.63	3b	Madagascar	13.00	0.00	6.00		3.00	Africa	National Institute For Medical Research	2013-02-11		EPI466971	Institut Pasteur De Madagascar
A/Maevatanana/974/2013	5.00	3.50	3b	Madagascar	11.00	0.00	8.00	2.00	2.00	Africa	National Institute For Medical Research	2013-03-11		EPI466784	Institut Pasteur De Madagascar
A/NewHampshire/10/2011	5.00	2.63	3b	USA	12.00	0.00	5.00		3.00	North America	Centers For Disease Control And Prevention	2011-12-28		EPI351306	New Hampshire Public Health Laboratories
A/Bangladesh/1621/2012	5.00	2.63	3b	Bangladesh	13.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2012-09-26		EPI406063	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Dakar/1/2012	5.00	2.63	3b	Senegal	12.00	0.00	5.00		3.00	Africa	National Institute For Medical Research	2012-01-18		EPI395043	Institut Pasteur De Dakar
A/Peru/PER232/2012	5.00	2.63	3b	Peru	12.00	0.00	6.00	1.00	3.00	South America	Other Database Import	2012-05-19		EPI496477	
A/HongKong/5063/2011	5.00	2.63	3b	Hong Kong	12.00	0.00	5.00		3.00	China	Centers For Disease Control And Prevention	2011-12-19		EPI353492	Government Virus Unit
A/India/7459/2011	5.00	2.63	3b	India	13.00	0.00	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2011-11-14		EPI355981	National Institute Of Virology
A/India/KL1118169/2011	5.00	2.63	3b	India	12.00	0.00	5.00		3.00	South Asia	Other Database Import	2011-09-08		EPI671856	
A/Saitama-C/140/2011	5.00	2.63	3b	Japan	12.00	0.00	5.00		3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-09-29		EPI348411	Saitama City Institute Of Health Science And Research
A/Pennsylvania/13/2011	5.00	2.63	3b	USA	12.00	0.00	5.00		3.00	North America	Centers For Disease Control And Prevention	2011-09-23		EPI341607	Pennsylvania Department Of Health
A/India/KL1118168/2011	5.00	2.63	3b	India	12.00	0.00	5.00		3.00	South Asia	Other Database Import	2011-09-26		EPI671855	
A/Bangladesh/3/2012	5.00	2.63	3b	Bangladesh	12.00	0.00	6.00	1.00	3.00	South Asia	Other Database Import	2012-08-16		EPI985059	
A/StPetersburg/28/2012	5.00	2.63	3b	Russia	12.00	0.00	5.00		3.00	West Asia	National Institute For Medical Research	2012-04-20		EPI377409	Who National Influenza Centre Russian Federation
A/Southauckland/7/2012	5.00	2.63	3b	New Zealand	12.00	0.00	5.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-06-15		EPI394182	Institute Of Environmental Science And Research
A/Osaka/58/2012	5.00	2.63	3b	Japan	12.00	0.00	6.00	2.00	3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-08-08		EPI406185	Osaka Prefectural Institute Of Public Health
A/SouthAustralia/12/2012	5.00	2.63	3b	Australia	12.00	0.00	5.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-04-17		EPI566475	Institute Of Medical And Veterinary Science (imvs)
A/England/565/2012	5.00	2.63	3b	United Kingdom	13.00	0.00	5.00	1.00	3.00	Europe	National Institute For Medical Research	2012-06-01		EPI405890	Health Protection Agency
A/Niigata-C/80/2012	3.20	2.63	3b	Japan	13.00	0.00	6.00	1.00	3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-05-14		EPI393441	Niigata City Institute Of Public Health And Environment
A/Tehran/34891/2013	3.20	2.95	3b	Iran	14.00	0.00	6.00	5.00	3.00	West Asia	Other Database Import	2013-07-04		EPI507255	
A/Bushehr/59000/2013	3.20	3.60	3b	Iran	12.00	0.00	6.00	3.00	3.00	West Asia	Other Database Import	2013-04-12		EPI507254	
A/Delhi/8865/2011	3.20	2.79	3c	India	14.00	0.02	5.00		3.00	South Asia	Other Database Import	2011-02-07		EPI527660	
A/Goa/8773/2011	3.20	2.79	3c	India	14.00	0.03	5.00		3.00	South Asia	Other Database Import	2011-01-07		EPI527661	
A/Uttarakhand/8853/2011	3.20	2.79	3c	India	14.00	0.01	5.00		3.00	South Asia	Other Database Import	2011-06-14		EPI527659	
A/Gunma/64/2011	3.20	2.79	3c	Japan	16.00	0.00	4.00	1.00	3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-11-24		EPI363055	Gunma Prefectural Institute Of Public Health And Environmental Sciences
A/Singapore/TT506/2011	3.20	2.79	3c	Singapore	14.00	0.00	5.00	1.00	3.00	Southeast Asia	Other Database Import	2011-08-16		EPI381027	
A/Singapore/TT609/2011	3.20	2.79	3c	Singapore	14.00	0.00	6.00	2.00	3.00	Southeast Asia	Other Database Import	2011-09-22		EPI381055	
A/Victoria/725/2011	3.20	2.79	3c	Australia	14.00	0.00	5.00	1.00	3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2011-12-04		EPI370051	Monash Medical Centre
A/Malaysia/341/2012	3.20	2.79	3c	Malaysia	15.00	0.00	5.00	2.00	3.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2012-02-29		EPI394084	Institut Penyelidikan Perubatan
A/Singapore/GP1838/2011	3.20	2.79	3c	Singapore	14.00	0.00	4.00		3.00	Southeast Asia	Other Database Import	2011-12-08		EPI380887	
A/Cambodia/55/2011	3.20	2.79	3c	Cambodia	14.00	0.00	4.00		3.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2011-12-05		EPI370321	National Public Health Laboratory
A/Murmansk/RII06/2012	3.20	2.79	3c	Russia	14.00	0.00	5.00		3.00	West Asia	Other Database Import	2012-05-07		EPI423939	
A/Brisbane/21/2012	3.20	2.79	3c	Australia	15.00	0.00	5.00	1.00	3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-03-05		EPI566484	Queensland Health Scientific Services
A/Egypt/736/2011	3.20	3.67	3c	Egypt	14.00	0.00	6.00	1.00	2.00	Africa	Centers For Disease Control And Prevention	2011-11-13		EPI353453	U.s. Naval Medical Research Unit No.3
A/Cairo/83/2011	3.20	3.67	3c	Egypt	14.00	0.00	5.00	1.00	2.00	Africa	National Institute For Medical Research	2011-12-15		EPI368884	Vacsera
A/Christchurch/23/2011	3.36	3.67	3c	New Zealand	14.00	0.01	6.00	3.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2011-08-04		EPI346302	Canterbury Health Services
A/HongKong/3969/2011	3.36	3.67	3c	Hong Kong	13.00	0.01	4.00		2.00	China	National Institute For Medical Research	2011-05-19		EPI331093	Government Virus Unit
A/HongKong/3968/2011	3.36	3.67	3c	Hong Kong	13.00	0.01	5.00		2.00	China	National Institute For Medical Research	2011-05-17		EPI331091	Government Virus Unit
A/Singapore/EN122/2011	3.36	3.67	3c	Singapore	13.00	0.02	6.00	1.00	2.00	Southeast Asia	Other Database Import	2011-04-11		EPI380757	
A/HongKong/3953/2011	3.36	3.67	3c	Hong Kong	13.00	0.02	5.00	1.00	2.00	China	Centers For Disease Control And Prevention	2011-04-18		EPI319687	Government Virus Unit
A/Victoria/361/2011	3.36	3.67	3c	Australia	13.00	0.00	5.00	1.00	2.00	Oceania	Other Database Import	2011-10-24	2012-02-21	EPI545346	Who Collaborating Centre For Reference And Research On Influenza
A/Singapore/GP1138/2011	3.36	3.67	3c	Singapore	13.00	0.01	4.00		2.00	Southeast Asia	Other Database Import	2011-06-23		EPI380787	
A/SouthAustralia/3/2011	3.36	3.67	3c	Australia	13.00	0.01	4.00		2.00	Oceania	Centers For Disease Control And Prevention	2011-06-10		EPI335951	Who Collaborating Centre For Reference And Research On Influenza
A/Singapore/GP898/2011	3.36	3.67	3c	Singapore	13.00	0.02	4.00		2.00	Southeast Asia	Other Database Import	2011-03-31		EPI380905	
A/Kaliningrad/4/2012	3.20	4.07	3c	Russia	14.00	0.00	6.00	1.00	2.00	West Asia	National Institute For Medical Research	2012-04-20		EPI377346	Who National Influenza Centre Russian Federation
A/Nonthaburi/42/2012	3.20	4.07	3c	Thailand	14.00	0.00	5.00		2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2012-03-07		EPI379391	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/HongKong/4974/2011	3.20	4.07	3c	Hong Kong	14.00	0.10	7.00	2.00	2.00	China	National Institute For Medical Research	2011-01-12		EPI352769	Government Virus Unit
A/Christchurch/516/2012	3.20	4.07	3c	New Zealand	16.00	0.00	6.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-07-08		EPI394152	Canterbury Health Services
A/Denmark/67/2012	3.20	4.07	3c	Denmark	16.00	0.00	6.00		3.00	Europe	National Institute For Medical Research	2012-09-28		EPI408103	Statens Serum Institute
A/Shimane/70/2012	3.20	4.07	3c	Japan	15.00	0.00	6.00		3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-05-27		EPI393437	Shimane Prefectural Institute Of Public Health And Environmental Science
A/Wellington/3/2012	3.20	4.07	3c	New Zealand	15.00	0.00	6.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-05-23		EPI394158	Institute Of Environmental Science And Research
A/Hiroshima/123/2011	3.20	4.07	3c	Japan	15.00	0.00	5.00	1.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-12-12		EPI353235	Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute
A/Shaanxi-Beilin/13/2012	3.20	4.07	3c	China	14.00	0.00	5.00		2.00	China	Centers For Disease Control And Prevention	2012-01-06		EPI367532	Who Chinese National Influenza Center
A/Hangzhou/B98/2012	3.20	4.07	3c	China	14.00	0.00	5.00		2.00	China	Hangzhou Center For Disease Control And Prevention	2012-03-02		EPI477247	Hangzhou Center For Disease Control And Prevention
A/Southaustralia/26/2012	3.20	4.07	3c	Australia	14.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-05-15		EPI379479	Institute Of Medical And Veterinary Science (imvs)
A/Tasmania/2/2012	3.20	4.07	3c	Australia	14.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-03-22		EPI376856	Royal Hobart Hospital
A/Sichuan-Wenjiang/258/2012	3.20	4.07	3c	China	14.00	0.00	5.00		2.00	China	Centers For Disease Control And Prevention	2012-04-05		EPI378102	Who Chinese National Influenza Center
A/Yokohama/152/2012	3.20	4.07	3c	Japan	14.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-07-24		EPI394965	Yokohama City Institute Of Public Health.
A/Taiwan/1520/2012	3.20	4.07	3c	Taiwan	14.00	0.00	6.00	1.00	2.00	China	Centers For Disease Control And Prevention	2012-09-20		EPI407100	Adimmune Corporation
A/Guangdong-Dongguanbendi/1729/2011	3.20	4.07	3c	China	14.00	0.01	6.00	1.00	2.00	China	Who Chinese National Influenza Center	2011-09-07		EPI347939	Who Chinese National Influenza Center
A/Sakai/13/2012	3.20	4.07	3c	Japan	14.00	0.00	5.00	1.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-06-25		EPI393438	Sakai City Institute Of Public Health
A/HongKong/5047/2011	3.20	4.07	3c	Hong Kong	15.00	0.01	5.00	1.00	2.00	China	National Institute For Medical Research	2011-12-14		EPI352775	Government Virus Unit
A/Shanghai-Luwan/1440/2011	3.20	4.07	3c	China	14.00	0.01	5.00		2.00	China	Centers For Disease Control And Prevention	2011-11-09		EPI352191	Who Chinese National Influenza Center
A/Brisbane/402/2011	3.20	4.07	3c	Australia	14.00	0.01	6.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2011-11-09		EPI370048	Queensland Health Scientific Services
A/Brisbane/1/2012	3.20	4.07	3c	Australia	14.00	0.00	6.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-01-07		EPI376859	Queensland Health Scientific Services
A/Guam/402/2012	3.20	4.07	3c	Guam	14.00	0.00	7.00		2.00	Oceania	Centers For Disease Control And Prevention	2012-01-15		EPI358034	State Of Hawaii Department Of Health
A/Yokohama/149/2011	3.20	4.07	3c	Japan	14.00	0.01	7.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-10-20		EPI347688	Yokohama City Institute Of Public Health.
A/Shanghai-Songjiang/154/2012	3.20	4.07	3c	China	15.00	0.00	6.00	1.00	2.00	China	Centers For Disease Control And Prevention	2012-01-10		EPI367496	Who Chinese National Influenza Center
A/Taiwan/607/2012	3.20	4.07	3c	Taiwan	14.00	0.00	7.00	2.00	2.00	China	Centers For Disease Control And Prevention	2012-05-02		EPI378109	Adimmune Corporation
A/Peru/PER260/2012	3.20	4.07	3c	Peru	15.00	0.00	5.00		2.00	South America	Other Database Import	2012-06-05		EPI496650	
A/Peru/PER124/2012	3.20	4.07	3c	Peru	15.00	0.00	5.00		2.00	South America	Other Database Import	2012-06-05		EPI495083	
A/Brisbane/6/2012	3.20	4.07	3c	Australia	14.00	0.01	5.00	3.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-02-03		EPI376862	Queensland Health Scientific Services
A/Qom/9677/2011	3.20	4.07	3c	Iran	14.00	0.02	6.00	1.00	2.00	West Asia	National Institute For Medical Research	2011-12-01		EPI352811	Tehran University Of Medical Sciences
A/Hangzhou/A389/2012	3.20	4.07	3c	China	15.00	0.00	6.00		3.00	China	Hangzhou Center For Disease Control And Prevention	2012-08-29		EPI477269	Hangzhou Center For Disease Control And Prevention
A/Thailand/CU-H3368/2012	3.20	4.07	3c	Thailand	15.00	0.00	7.00	2.00	3.00	Southeast Asia	Other Database Import	2012-09-01		EPI684777	
A/Guangdong-Futian/1106/2012	3.20	4.07	3c	China	15.00	0.01	6.00	1.00	2.00	China	Who Chinese National Influenza Center	2012-02-23		EPI388434	Who Chinese National Influenza Center
A/Slovenia/1049/2012	3.20	4.07	3c	Slovenia	15.00	0.00	6.00		2.00	Europe	National Institute For Medical Research	2012-04-03		EPI377386	Laboratory For Virology, National Institute Of Public Health
A/Austria/111/2012	3.20	4.07	3c	Austria	15.00	0.00	6.00		2.00	Europe	Medical University Vienna	2012-07-21		EPI378531	Department Of Virology, Medical University Vienna
A/Thailand/CU-B6091/2012	3.20	4.07	3c	Thailand	14.00	0.01	7.00	2.00	2.00	Southeast Asia	Other Database Import	2012-02-24		EPI684772	
A/Japan/1580/2012	3.20	4.07	3c	Japan	14.00	0.01	5.00		2.00	Japan Korea	Centers For Disease Control And Prevention	2012-02-15		EPI375066	U.s. Air Force School Of Aerospace Medicine
A/Texas/50/2012	3.20	4.44	3c	USA	15.00	0.00	5.00		2.00	North America	Centers For Disease Control And Prevention	2012-04-16	2013-09-25	EPI377499	Texas Department Of State Health Services Laboratory Services
A/Novosibirsk/RII15/2012	3.20	4.44	3c	Russia	15.00	0.01	5.00		2.00	West Asia	Other Database Import	2012-02-22		EPI423923	
A/Novosibirsk/RII08/2012	3.20	4.44	3c	Russia	15.00	0.01	5.00		2.00	West Asia	Other Database Import	2012-02-03		EPI364363	
A/Madagascar/3535/2012	3.20	4.07	3c	Madagascar	14.00	0.00	6.00	1.00	2.00	Africa	National Institute For Medical Research	2012-06-07		EPI392290	Institut Pasteur De Madagascar
A/Victoria/84/2012	3.20	4.07	3c	Australia	15.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-07-05		EPI394164	Victorian Infectious Diseases Reference Laboratory
A/Southaustralia/160/2012	3.20	4.07	3c	Australia	15.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-10-08		EPI417285	Institute Of Medical And Veterinary Science (imvs)
A/Victoria/516/2012	3.20	4.07	3c	Australia	15.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-06-03		EPI379494	Monash Medical Centre
A/Hyogo/1068/2011	3.20	4.07	3c	Japan	14.00	0.07	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-07-22		EPI338350	Hyogo Prefectural Institute Of Public Health And Consumer Sciences
A/Hyogo/1103/2012	3.20	4.07	3c	Japan	15.00	0.01	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-01-05		EPI353278	Hyogo Prefectural Institute Of Public Health And Consumer Sciences
A/Niigata/440/2012	3.20	4.07	3c	Japan	15.00	0.01	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-03-16		EPI375620	Niigata Prefectural Institute Of Public Health And Environmental Sciences
A/Singapore/29/2012	3.20	4.07	3c	Singapore	16.00	0.00	5.00	1.00	2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2012-03-25		EPI394223	Ministry Of Health, Singapore
A/Stockholm/25/2011	3.20	4.07	3c	Sweden	14.00	0.04	5.00		2.00	Europe	Swedish Institute For Infectious Disease Control	2011-09-01		EPI342678	
